State,Youth Offender Type,Year,Offences
New South Wales,05 Abduction/harassment,2017,101
New South Wales,06 Robbery/extortion,2017,302
New South Wales,07 Unlawful entry with intent,2017,661
New South Wales,08 Theft,2017,2291
New South Wales,09 Fraud/deception,2017,426
New South Wales,10 Illicit drug offences,2017,1049
New South Wales,11 Weapons/explosives,2017,159
New South Wales,12 Property damage and environmental pollution,2017,758
New South Wales,13 Public order offences,2017,1988
New South Wales,15 Offences against justice(g),2017,215
New South Wales,16 Miscellaneous offences,2017,212
New South Wales,All offenders,2017,126274
New South Wales,Total Youth offenders,2017,19986
Northern Territory,01 Homicide and related offences,2017,0
Northern Territory,02 Acts intended to cause injury,2017,179
Northern Territory,03 Sexual assault and related offences,2017,14
Northern Territory,04 Dangerous/negligent acts(e),2017,11
Northern Territory,05 Abduction/harassment,2017,7
Northern Territory,06 Robbery/extortion,2017,27
Northern Territory,07 Unlawful entry with intent,2017,242
Northern Territory,08 Theft,2017,66
Northern Territory,09 Fraud/deception,2017,5
Northern Territory,10 Illicit drug offences,2017,12
Northern Territory,11 Weapons/explosives,2017,41
Northern Territory,12 Property damage and environmental pollution,2017,36
Northern Territory,13 Public order offences,2017,74
Northern Territory,15 Offences against justice(g),2017,8
Northern Territory,16 Miscellaneous offences,2017,0
Northern Territory,All offenders,2017,12502
Northern Territory,Total Youth offenders,2017,719
Queensland,01 Homicide and related offences,2017,4
Queensland,02 Acts intended to cause injury,2017,1996
Queensland,03 Sexual assault and related offences,2017,586
Queensland,04 Dangerous/negligent acts(e),2017,103
Queensland,05 Abduction/harassment,2017,7
Queensland,06 Robbery/extortion,2017,424
Queensland,07 Unlawful entry with intent,2017,1633
Queensland,08 Theft,2017,2424
Queensland,09 Fraud/deception,2017,219
Queensland,10 Illicit drug offences,2017,2286
Queensland,11 Weapons/explosives,2017,212
Queensland,12 Property damage and environmental pollution,2017,764
Queensland,13 Public order offences,2017,1022
Queensland,15 Offences against justice(g),2017,154
Queensland,16 Miscellaneous offences,2017,7
Queensland,All offenders,2017,90122
Queensland,Total Youth offenders,2017,12304
South Australia,01 Homicide and related offences,2017,9
South Australia,02 Acts intended to cause injury,2017,660
South Australia,03 Sexual assault and related offences,2017,185
South Australia,04 Dangerous/negligent acts(e),2017,28
South Australia,05 Abduction/harassment,2017,19
South Australia,06 Robbery/extortion,2017,49
South Australia,07 Unlawful entry with intent,2017,171
South Australia,08 Theft,2017,526
South Australia,09 Fraud/deception,2017,15
South Australia,10 Illicit drug offences,2017,701
South Australia,11 Weapons/explosives,2017,139
South Australia,12 Property damage and environmental pollution,2017,262
South Australia,13 Public order offences,2017,452
South Australia,15 Offences against justice(g),2017,47
South Australia,16 Miscellaneous offences,2017,41
South Australia,All offenders,2017,46407
South Australia,Total Youth offenders,2017,3792
Tasmania,01 Homicide and related offences,2017,0
Tasmania,02 Acts intended to cause injury,2017,217
Tasmania,03 Sexual assault and related offences,2017,12
Tasmania,04 Dangerous/negligent acts(e),2017,0
Tasmania,05 Abduction/harassment,2017,0
Tasmania,06 Robbery/extortion,2017,19
Tasmania,07 Unlawful entry with intent,2017,95
Tasmania,08 Theft,2017,176
Tasmania,09 Fraud/deception,2017,12
Tasmania,10 Illicit drug offences,2017,147
Tasmania,11 Weapons/explosives,2017,37
Tasmania,12 Property damage and environmental pollution,2017,88
Tasmania,13 Public order offences,2017,173
Tasmania,15 Offences against justice(g),2017,24
Tasmania,16 Miscellaneous offences,2017,35
Tasmania,All offenders,2017,10134
Tasmania,Total Youth offenders,2017,1047
Victoria,01 Homicide and related offences,2017,7
Victoria,02 Acts intended to cause injury,2017,1853
Victoria,03 Sexual assault and related offences,2017,164
Victoria,04 Dangerous/negligent acts(e),2017,59
Victoria,05 Abduction/harassment,2017,124
Victoria,06 Robbery/extortion,2017,256
Victoria,07 Unlawful entry with intent,2017,429
Victoria,08 Theft,2017,1678
Victoria,09 Fraud/deception,2017,136
Victoria,10 Illicit drug offences,2017,401
Victoria,11 Weapons/explosives,2017,416
Victoria,12 Property damage and environmental pollution,2017,745
Victoria,13 Public order offences,2017,607
Victoria,15 Offences against justice(g),2017,109
Victoria,16 Miscellaneous offences,2017,659
Victoria,All offenders,2017,77286
Victoria,Total Youth offenders,2017,8329
Western Australia,01 Homicide and related offences,2017,0
Western Australia,02 Acts intended to cause injury,2017,1232
Western Australia,03 Sexual assault and related offences,2017,237
Western Australia,04 Dangerous/negligent acts(e),2017,17
Western Australia,05 Abduction/harassment,2017,125
Western Australia,06 Robbery/extortion,2017,161
Western Australia,07 Unlawful entry with intent,2017,1205
Western Australia,08 Theft,2017,1234
Western Australia,09 Fraud/deception,2017,133
Western Australia,10 Illicit drug offences,2017,827
Western Australia,11 Weapons/explosives,2017,168
Western Australia,12 Property damage and environmental pollution,2017,549
Western Australia,13 Public order offences,2017,501
Western Australia,15 Offences against justice(g),2017,130
Western Australia,16 Miscellaneous offences,2017,46
Western Australia,All offenders,2017,41310
Western Australia,Total Youth offenders,2017,6577
Australian Capital Territory,01 Homicide and related offences,2018,0
Australian Capital Territory,02 Acts intended to cause injury,2018,79
Australian Capital Territory,03 Sexual assault and related offences,2018,3
Australian Capital Territory,04 Dangerous/negligent acts(e),2018,0
Australian Capital Territory,05 Abduction/harassment,2018,0
Australian Capital Territory,06 Robbery/extortion,2018,23
Australian Capital Territory,07 Unlawful entry with intent,2018,20
Australian Capital Territory,08 Theft,2018,54
Australian Capital Territory,09 Fraud/deception,2018,5
Australian Capital Territory,10 Illicit drug offences,2018,18
Australian Capital Territory,11 Weapons/explosives,2018,18
Australian Capital Territory,12 Property damage and environmental pollution,2018,15
Australian Capital Territory,13 Public order offences,2018,50
Australian Capital Territory,15 Offences against justice(g),2018,4
Australian Capital Territory,16 Miscellaneous offences,2018,0
Australian Capital Territory,All offenders,2018,2477
Australian Capital Territory,Total Youth offenders,2018,301
New South Wales,01 Homicide and related offences,2018,14
New South Wales,02 Acts intended to cause injury,2018,3287
New South Wales,03 Sexual assault and related offences,2018,275
New South Wales,04 Dangerous/negligent acts(e),2018,11
New South Wales,05 Abduction/harassment,2018,113
New South Wales,06 Robbery/extortion,2018,319
New South Wales,07 Unlawful entry with intent,2018,482
New South Wales,08 Theft,2018,1952
New South Wales,09 Fraud/deception,2018,457
New South Wales,10 Illicit drug offences,2018,1021
New South Wales,11 Weapons/explosives,2018,133
New South Wales,12 Property damage and environmental pollution,2018,715
New South Wales,13 Public order offences,2018,1746
New South Wales,15 Offences against justice(g),2018,216
New South Wales,16 Miscellaneous offences,2018,205
New South Wales,All offenders,2018,122001
New South Wales,Total Youth offenders,2018,17972
Northern Territory,01 Homicide and related offences,2018,0
Northern Territory,02 Acts intended to cause injury,2018,209
Northern Territory,03 Sexual assault and related offences,2018,17
Northern Territory,04 Dangerous/negligent acts(e),2018,13
Northern Territory,05 Abduction/harassment,2018,8
Northern Territory,06 Robbery/extortion,2018,18
Northern Territory,07 Unlawful entry with intent,2018,272
Northern Territory,08 Theft,2018,67
Northern Territory,09 Fraud/deception,2018,3
Northern Territory,10 Illicit drug offences,2018,18
Northern Territory,11 Weapons/explosives,2018,31
Northern Territory,12 Property damage and environmental pollution,2018,22
Northern Territory,13 Public order offences,2018,67
Northern Territory,15 Offences against justice(g),2018,14
Northern Territory,16 Miscellaneous offences,2018,3
Northern Territory,All offenders,2018,10871
Northern Territory,Total Youth offenders,2018,765
Queensland,01 Homicide and related offences,2018,6
Queensland,02 Acts intended to cause injury,2018,1999
Queensland,03 Sexual assault and related offences,2018,552
Queensland,04 Dangerous/negligent acts(e),2018,119
Queensland,05 Abduction/harassment,2018,13
Queensland,06 Robbery/extortion,2018,498
Queensland,07 Unlawful entry with intent,2018,1516
Queensland,08 Theft,2018,2240
Queensland,09 Fraud/deception,2018,215
Queensland,10 Illicit drug offences,2018,2230
Queensland,11 Weapons/explosives,2018,216
Queensland,12 Property damage and environmental pollution,2018,710
Queensland,13 Public order offences,2018,779
Queensland,15 Offences against justice(g),2018,121
Queensland,16 Miscellaneous offences,2018,14
Queensland,All offenders,2018,89501
Queensland,Total Youth offenders,2018,11699
South Australia,01 Homicide and related offences,2018,0
South Australia,02 Acts intended to cause injury,2018,631
South Australia,03 Sexual assault and related offences,2018,125
South Australia,04 Dangerous/negligent acts(e),2018,20
South Australia,05 Abduction/harassment,2018,20
South Australia,06 Robbery/extortion,2018,59
South Australia,07 Unlawful entry with intent,2018,218
South Australia,08 Theft,2018,375
South Australia,09 Fraud/deception,2018,3
South Australia,10 Illicit drug offences,2018,669
South Australia,11 Weapons/explosives,2018,110
South Australia,12 Property damage and environmental pollution,2018,177
South Australia,13 Public order offences,2018,407
South Australia,15 Offences against justice(g),2018,48
South Australia,16 Miscellaneous offences,2018,26
South Australia,All offenders,2018,44586
South Australia,Total Youth offenders,2018,3368
Tasmania,01 Homicide and related offences,2018,0
Tasmania,02 Acts intended to cause injury,2018,212
Tasmania,03 Sexual assault and related offences,2018,4
Tasmania,04 Dangerous/negligent acts(e),2018,0
Tasmania,05 Abduction/harassment,2018,0
Tasmania,06 Robbery/extortion,2018,15
Tasmania,07 Unlawful entry with intent,2018,84
Tasmania,08 Theft,2018,156
Tasmania,09 Fraud/deception,2018,8
Tasmania,10 Illicit drug offences,2018,104
Tasmania,11 Weapons/explosives,2018,50
Tasmania,12 Property damage and environmental pollution,2018,116
Tasmania,13 Public order offences,2018,125
Tasmania,15 Offences against justice(g),2018,26
Tasmania,16 Miscellaneous offences,2018,17
Tasmania,All offenders,2018,9780
Tasmania,Total Youth offenders,2018,911
Victoria,01 Homicide and related offences,2018,6
Victoria,02 Acts intended to cause injury,2018,1871
Victoria,03 Sexual assault and related offences,2018,164
Victoria,04 Dangerous/negligent acts(e),2018,51
Victoria,05 Abduction/harassment,2018,130
Victoria,06 Robbery/extortion,2018,350
Victoria,07 Unlawful entry with intent,2018,389
Victoria,08 Theft,2018,1495
Victoria,09 Fraud/deception,2018,141
Victoria,10 Illicit drug offences,2018,481
Victoria,11 Weapons/explosives,2018,452
Victoria,12 Property damage and environmental pollution,2018,625
Victoria,13 Public order offences,2018,654
Victoria,15 Offences against justice(g),2018,115
Victoria,16 Miscellaneous offences,2018,597
Victoria,All offenders,2018,75996
Victoria,Total Youth offenders,2018,8182
Western Australia,01 Homicide and related offences,2018,0
Western Australia,02 Acts intended to cause injury,2018,1152
Western Australia,03 Sexual assault and related offences,2018,211
Western Australia,04 Dangerous/negligent acts(e),2018,18
Western Australia,05 Abduction/harassment,2018,109
Western Australia,06 Robbery/extortion,2018,245
Western Australia,07 Unlawful entry with intent,2018,1053
Western Australia,08 Theft,2018,1167
Western Australia,09 Fraud/deception,2018,82
Western Australia,10 Illicit drug offences,2018,689
Western Australia,11 Weapons/explosives,2018,160
Western Australia,12 Property damage and environmental pollution,2018,497
Western Australia,13 Public order offences,2018,465
Western Australia,15 Offences against justice(g),2018,122
Western Australia,16 Miscellaneous offences,2018,12
Western Australia,All offenders,2018,39415
Western Australia,Total Youth offenders,2018,5989
Australian Capital Territory,01 Homicide and related offences,2019,0
Australian Capital Territory,02 Acts intended to cause injury,2019,75
Australian Capital Territory,03 Sexual assault and related offences,2019,5
Australian Capital Territory,04 Dangerous/negligent acts(e),2019,0
Australian Capital Territory,05 Abduction/harassment,2019,10
Australian Capital Territory,06 Robbery/extortion,2019,25
Australian Capital Territory,07 Unlawful entry with intent,2019,16
Australian Capital Territory,08 Theft,2019,48
Australian Capital Territory,09 Fraud/deception,2019,3
Australian Capital Territory,10 Illicit drug offences,2019,36
Australian Capital Territory,11 Weapons/explosives,2019,23
Australian Capital Territory,12 Property damage and environmental pollution,2019,36
Australian Capital Territory,13 Public order offences,2019,41
Australian Capital Territory,15 Offences against justice(g),2019,3
Australian Capital Territory,16 Miscellaneous offences,2019,0
Australian Capital Territory,All offenders,2019,2406
Australian Capital Territory,Total Youth offenders,2019,316
New South Wales,01 Homicide and related offences,2019,16
New South Wales,02 Acts intended to cause injury,2019,3321
New South Wales,03 Sexual assault and related offences,2019,261
New South Wales,04 Dangerous/negligent acts(e),2019,3
New South Wales,05 Abduction/harassment,2019,139
New South Wales,06 Robbery/extortion,2019,367
New South Wales,07 Unlawful entry with intent,2019,529
New South Wales,08 Theft,2019,1833
New South Wales,09 Fraud/deception,2019,417
New South Wales,10 Illicit drug offences,2019,1104
New South Wales,11 Weapons/explosives,2019,183
New South Wales,12 Property damage and environmental pollution,2019,718
New South Wales,13 Public order offences,2019,1809
New South Wales,15 Offences against justice(g),2019,204
New South Wales,16 Miscellaneous offences,2019,252
New South Wales,All offenders,2019,116924
New South Wales,Total Youth offenders,2019,17710
Northern Territory,01 Homicide and related offences,2019,0
Northern Territory,02 Acts intended to cause injury,2019,199
Northern Territory,03 Sexual assault and related offences,2019,20
Northern Territory,04 Dangerous/negligent acts(e),2019,7
Northern Territory,05 Abduction/harassment,2019,14
Northern Territory,06 Robbery/extortion,2019,38
Northern Territory,07 Unlawful entry with intent,2019,175
Northern Territory,08 Theft,2019,72
Northern Territory,09 Fraud/deception,2019,4
Northern Territory,10 Illicit drug offences,2019,17
Northern Territory,11 Weapons/explosives,2019,31
Northern Territory,12 Property damage and environmental pollution,2019,22
Northern Territory,13 Public order offences,2019,64
Northern Territory,15 Offences against justice(g),2019,17
Northern Territory,16 Miscellaneous offences,2019,0
Northern Territory,All offenders,2019,9505
Northern Territory,Total Youth offenders,2019,693
Queensland,01 Homicide and related offences,2019,13
Queensland,02 Acts intended to cause injury,2019,1962
Queensland,03 Sexual assault and related offences,2019,621
Queensland,04 Dangerous/negligent acts(e),2019,67
Queensland,05 Abduction/harassment,2019,7
Queensland,06 Robbery/extortion,2019,546
Queensland,07 Unlawful entry with intent,2019,1402
Queensland,08 Theft,2019,1985
Queensland,09 Fraud/deception,2019,179
Queensland,10 Illicit drug offences,2019,2147
Queensland,11 Weapons/explosives,2019,221
Queensland,12 Property damage and environmental pollution,2019,680
Queensland,13 Public order offences,2019,660
Queensland,15 Offences against justice(g),2019,98
Queensland,16 Miscellaneous offences,2019,41
Queensland,All offenders,2019,88452
Queensland,Total Youth offenders,2019,11007
South Australia,01 Homicide and related offences,2019,0
South Australia,02 Acts intended to cause injury,2019,557
South Australia,03 Sexual assault and related offences,2019,87
South Australia,04 Dangerous/negligent acts(e),2019,3
South Australia,05 Abduction/harassment,2019,12
South Australia,06 Robbery/extortion,2019,79
South Australia,07 Unlawful entry with intent,2019,278
South Australia,08 Theft,2019,296
South Australia,09 Fraud/deception,2019,13
South Australia,10 Illicit drug offences,2019,510
South Australia,11 Weapons/explosives,2019,118
South Australia,12 Property damage and environmental pollution,2019,157
South Australia,13 Public order offences,2019,275
South Australia,15 Offences against justice(g),2019,21
South Australia,16 Miscellaneous offences,2019,57
South Australia,All offenders,2019,36860
South Australia,Total Youth offenders,2019,2782
Tasmania,01 Homicide and related offences,2019,5
Tasmania,02 Acts intended to cause injury,2019,185
Tasmania,03 Sexual assault and related offences,2019,7
Tasmania,04 Dangerous/negligent acts(e),2019,0
Tasmania,05 Abduction/harassment,2019,0
Tasmania,06 Robbery/extortion,2019,16
Tasmania,07 Unlawful entry with intent,2019,56
Tasmania,08 Theft,2019,123
Tasmania,09 Fraud/deception,2019,10
Tasmania,10 Illicit drug offences,2019,108
Tasmania,11 Weapons/explosives,2019,67
Tasmania,12 Property damage and environmental pollution,2019,103
Tasmania,13 Public order offences,2019,118
Tasmania,15 Offences against justice(g),2019,23
Tasmania,16 Miscellaneous offences,2019,27
Tasmania,All offenders,2019,8705
Tasmania,Total Youth offenders,2019,856
Victoria,01 Homicide and related offences,2019,3
Victoria,02 Acts intended to cause injury,2019,1945
Victoria,03 Sexual assault and related offences,2019,164
Victoria,04 Dangerous/negligent acts(e),2019,52
Victoria,05 Abduction/harassment,2019,136
Victoria,06 Robbery/extortion,2019,419
Victoria,07 Unlawful entry with intent,2019,360
Victoria,08 Theft,2019,1323
Victoria,09 Fraud/deception,2019,114
Victoria,10 Illicit drug offences,2019,519
Victoria,11 Weapons/explosives,2019,476
Victoria,12 Property damage and environmental pollution,2019,527
Victoria,13 Public order offences,2019,561
Victoria,15 Offences against justice(g),2019,93
Victoria,16 Miscellaneous offences,2019,584
Victoria,All offenders,2019,74189
Victoria,Total Youth offenders,2019,7785
Western Australia,01 Homicide and related offences,2019,5
Western Australia,02 Acts intended to cause injury,2019,1198
Western Australia,03 Sexual assault and related offences,2019,227
Western Australia,04 Dangerous/negligent acts(e),2019,23
Western Australia,05 Abduction/harassment,2019,115
Western Australia,06 Robbery/extortion,2019,284
Western Australia,07 Unlawful entry with intent,2019,947
Western Australia,08 Theft,2019,988
Western Australia,09 Fraud/deception,2019,87
Western Australia,10 Illicit drug offences,2019,689
Western Australia,11 Weapons/explosives,2019,142
Western Australia,12 Property damage and environmental pollution,2019,469
Western Australia,13 Public order offences,2019,474
Western Australia,15 Offences against justice(g),2019,104
Western Australia,16 Miscellaneous offences,2019,49
Western Australia,All offenders,2019,37597
Western Australia,Total Youth offenders,2019,5799
Australian Capital Territory,01 Homicide and related offences,2020,0
Australian Capital Territory,02 Acts intended to cause injury,2020,80
Australian Capital Territory,03 Sexual assault and related offences,2020,0
Australian Capital Territory,04 Dangerous/negligent acts(e),2020,0
Australian Capital Territory,05 Abduction/harassment,2020,5
Australian Capital Territory,06 Robbery/extortion,2020,12
Australian Capital Territory,07 Unlawful entry with intent,2020,8
Australian Capital Territory,08 Theft,2020,43
Australian Capital Territory,09 Fraud/deception,2020,6
Australian Capital Territory,10 Illicit drug offences,2020,12
Australian Capital Territory,11 Weapons/explosives,2020,30
Australian Capital Territory,12 Property damage and environmental pollution,2020,23
Australian Capital Territory,13 Public order offences,2020,41
Australian Capital Territory,15 Offences against justice(g),2020,3
Australian Capital Territory,16 Miscellaneous offences,2020,0
Australian Capital Territory,All offenders,2020,2222
Australian Capital Territory,Total Youth offenders,2020,260
New South Wales,01 Homicide and related offences,2020,12
New South Wales,02 Acts intended to cause injury,2020,3604
New South Wales,03 Sexual assault and related offences,2020,293
New South Wales,04 Dangerous/negligent acts(e),2020,13
New South Wales,05 Abduction/harassment,2020,125
New South Wales,06 Robbery/extortion,2020,345
New South Wales,07 Unlawful entry with intent,2020,449
New South Wales,08 Theft,2020,1454
New South Wales,09 Fraud/deception,2020,335
New South Wales,10 Illicit drug offences,2020,860
New South Wales,11 Weapons/explosives,2020,186
New South Wales,12 Property damage and environmental pollution,2020,746
New South Wales,13 Public order offences,2020,1851
New South Wales,15 Offences against justice(g),2020,169
New South Wales,16 Miscellaneous offences,2020,450
New South Wales,All offenders,2020,110499
New South Wales,Total Youth offenders,2020,18128
Northern Territory,01 Homicide and related offences,2020,3
Northern Territory,02 Acts intended to cause injury,2020,202
Northern Territory,03 Sexual assault and related offences,2020,21
Northern Territory,04 Dangerous/negligent acts(e),2020,6
Northern Territory,05 Abduction/harassment,2020,6
Northern Territory,06 Robbery/extortion,2020,62
Northern Territory,07 Unlawful entry with intent,2020,192
Northern Territory,08 Theft,2020,50
Northern Territory,09 Fraud/deception,2020,7
Northern Territory,10 Illicit drug offences,2020,9
Northern Territory,11 Weapons/explosives,2020,30
Northern Territory,12 Property damage and environmental pollution,2020,19
Northern Territory,13 Public order offences,2020,40
Northern Territory,15 Offences against justice(g),2020,7
Northern Territory,16 Miscellaneous offences,2020,0
Northern Territory,All offenders,2020,9181
Northern Territory,Total Youth offenders,2020,663
Queensland,01 Homicide and related offences,2020,9
Queensland,02 Acts intended to cause injury,2020,2220
Queensland,03 Sexual assault and related offences,2020,645
Queensland,04 Dangerous/negligent acts(e),2020,114
Queensland,05 Abduction/harassment,2020,3
Queensland,06 Robbery/extortion,2020,492
Queensland,07 Unlawful entry with intent,2020,1259
Queensland,08 Theft,2020,1511
Queensland,09 Fraud/deception,2020,166
Queensland,10 Illicit drug offences,2020,1736
Queensland,11 Weapons/explosives,2020,211
Queensland,12 Property damage and environmental pollution,2020,702
Queensland,13 Public order offences,2020,703
Queensland,15 Offences against justice(g),2020,127
Queensland,16 Miscellaneous offences,2020,29
Queensland,All offenders,2020,84389
Queensland,Total Youth offenders,2020,10314
South Australia,01 Homicide and related offences,2020,0
South Australia,02 Acts intended to cause injury,2020,592
South Australia,03 Sexual assault and related offences,2020,90
South Australia,04 Dangerous/negligent acts(e),2020,4
South Australia,05 Abduction/harassment,2020,11
South Australia,06 Robbery/extortion,2020,58
South Australia,07 Unlawful entry with intent,2020,248
South Australia,08 Theft,2020,249
South Australia,09 Fraud/deception,2020,9
South Australia,10 Illicit drug offences,2020,353
South Australia,11 Weapons/explosives,2020,111
South Australia,12 Property damage and environmental pollution,2020,143
South Australia,13 Public order offences,2020,112
South Australia,15 Offences against justice(g),2020,39
South Australia,16 Miscellaneous offences,2020,32
South Australia,All offenders,2020,31272
South Australia,Total Youth offenders,2020,2083
Tasmania,01 Homicide and related offences,2020,0
Tasmania,02 Acts intended to cause injury,2020,206
Tasmania,03 Sexual assault and related offences,2020,15
Tasmania,04 Dangerous/negligent acts(e),2020,0
Tasmania,05 Abduction/harassment,2020,6
Tasmania,06 Robbery/extortion,2020,18
Tasmania,07 Unlawful entry with intent,2020,40
Tasmania,08 Theft,2020,148
Tasmania,09 Fraud/deception,2020,17
Tasmania,10 Illicit drug offences,2020,91
Tasmania,11 Weapons/explosives,2020,53
Tasmania,12 Property damage and environmental pollution,2020,93
Tasmania,13 Public order offences,2020,104
Tasmania,15 Offences against justice(g),2020,35
Tasmania,16 Miscellaneous offences,2020,20
Tasmania,All offenders,2020,8389
Tasmania,Total Youth offenders,2020,846
Victoria,01 Homicide and related offences,2020,11
Victoria,02 Acts intended to cause injury,2020,1708
Victoria,03 Sexual assault and related offences,2020,169
Victoria,04 Dangerous/negligent acts(e),2020,44
Victoria,05 Abduction/harassment,2020,135
Victoria,06 Robbery/extortion,2020,243
Victoria,07 Unlawful entry with intent,2020,296
Victoria,08 Theft,2020,768
Victoria,09 Fraud/deception,2020,132
Victoria,10 Illicit drug offences,2020,382
Victoria,11 Weapons/explosives,2020,355
Victoria,12 Property damage and environmental pollution,2020,535
Victoria,13 Public order offences,2020,521
Victoria,15 Offences against justice(g),2020,77
Victoria,16 Miscellaneous offences,2020,891
Victoria,All offenders,2020,78554
Victoria,Total Youth offenders,2020,6531
Western Australia,01 Homicide and related offences,2020,3
Western Australia,02 Acts intended to cause injury,2020,1241
Western Australia,03 Sexual assault and related offences,2020,222
Western Australia,04 Dangerous/negligent acts(e),2020,39
Western Australia,05 Abduction/harassment,2020,129
Western Australia,06 Robbery/extortion,2020,191
Western Australia,07 Unlawful entry with intent,2020,881
Western Australia,08 Theft,2020,994
Western Australia,09 Fraud/deception,2020,79
Western Australia,10 Illicit drug offences,2020,645
Western Australia,11 Weapons/explosives,2020,144
Western Australia,12 Property damage and environmental pollution,2020,501
Western Australia,13 Public order offences,2020,462
Western Australia,15 Offences against justice(g),2020,98
Western Australia,16 Miscellaneous offences,2020,55
Western Australia,All offenders,2020,35468
Western Australia,Total Youth offenders,2020,5678
Australian Capital Territory,01 Homicide and related offences,2021,0
Australian Capital Territory,02 Acts intended to cause injury,2021,85
Australian Capital Territory,03 Sexual assault and related offences,2021,3
Australian Capital Territory,04 Dangerous/negligent acts(e),2021,0
Australian Capital Territory,05 Abduction/harassment,2021,0
Australian Capital Territory,06 Robbery/extortion,2021,10
Australian Capital Territory,07 Unlawful entry with intent,2021,8
Australian Capital Territory,08 Theft,2021,28
Australian Capital Territory,09 Fraud/deception,2021,5
Australian Capital Territory,10 Illicit drug offences,2021,21
Australian Capital Territory,11 Weapons/explosives,2021,13
Australian Capital Territory,12 Property damage and environmental pollution,2021,19
Australian Capital Territory,13 Public order offences,2021,9
Australian Capital Territory,15 Offences against justice(g),2021,3
Australian Capital Territory,16 Miscellaneous offences,2021,3
Australian Capital Territory,All offenders,2021,2328
Australian Capital Territory,Total Youth offenders,2021,223
New South Wales,01 Homicide and related offences,2021,22
New South Wales,02 Acts intended to cause injury,2021,3638
New South Wales,03 Sexual assault and related offences,2021,262
New South Wales,04 Dangerous/negligent acts(e),2021,19
New South Wales,05 Abduction/harassment,2021,142
New South Wales,06 Robbery/extortion,2021,285
New South Wales,07 Unlawful entry with intent,2021,480
New South Wales,08 Theft,2021,1224
New South Wales,09 Fraud/deception,2021,234
New South Wales,10 Illicit drug offences,2021,697
New South Wales,11 Weapons/explosives,2021,163
New South Wales,12 Property damage and environmental pollution,2021,725
New South Wales,13 Public order offences,2021,1586
New South Wales,15 Offences against justice(g),2021,144
New South Wales,16 Miscellaneous offences,2021,2685
New South Wales,All offenders,2021,134571
New South Wales,Total Youth offenders,2021,18012
Northern Territory,01 Homicide and related offences,2021,0
Northern Territory,02 Acts intended to cause injury,2021,192
Northern Territory,03 Sexual assault and related offences,2021,17
Northern Territory,04 Dangerous/negligent acts(e),2021,7
Northern Territory,05 Abduction/harassment,2021,3
Northern Territory,06 Robbery/extortion,2021,95
Northern Territory,07 Unlawful entry with intent,2021,257
Northern Territory,08 Theft,2021,51
Northern Territory,09 Fraud/deception,2021,3
Northern Territory,10 Illicit drug offences,2021,6
Northern Territory,11 Weapons/explosives,2021,44
Northern Territory,12 Property damage and environmental pollution,2021,30
Northern Territory,13 Public order offences,2021,31
Northern Territory,15 Offences against justice(g),2021,6
Northern Territory,16 Miscellaneous offences,2021,0
Northern Territory,All offenders,2021,8690
Northern Territory,Total Youth offenders,2021,754
Queensland,01 Homicide and related offences,2021,22
Queensland,02 Acts intended to cause injury,2021,2221
Queensland,03 Sexual assault and related offences,2021,644
Queensland,04 Dangerous/negligent acts(e),2021,109
Queensland,05 Abduction/harassment,2021,0
Queensland,06 Robbery/extortion,2021,523
Queensland,07 Unlawful entry with intent,2021,1388
Queensland,08 Theft,2021,1655
Queensland,09 Fraud/deception,2021,141
Queensland,10 Illicit drug offences,2021,1465
Queensland,11 Weapons/explosives,2021,207
Queensland,12 Property damage and environmental pollution,2021,757
Queensland,13 Public order offences,2021,688
Queensland,15 Offences against justice(g),2021,101
Queensland,16 Miscellaneous offences,2021,37
Queensland,All offenders,2021,81469
Queensland,Total Youth offenders,2021,10304
South Australia,01 Homicide and related offences,2021,0
South Australia,02 Acts intended to cause injury,2021,563
South Australia,03 Sexual assault and related offences,2021,41
South Australia,04 Dangerous/negligent acts(e),2021,6
South Australia,05 Abduction/harassment,2021,11
South Australia,06 Robbery/extortion,2021,63
South Australia,07 Unlawful entry with intent,2021,212
South Australia,08 Theft,2021,239
South Australia,09 Fraud/deception,2021,6
South Australia,10 Illicit drug offences,2021,305
South Australia,11 Weapons/explosives,2021,124
South Australia,12 Property damage and environmental pollution,2021,119
South Australia,13 Public order offences,2021,117
South Australia,15 Offences against justice(g),2021,34
South Australia,16 Miscellaneous offences,2021,82
South Australia,All offenders,2021,25217
South Australia,Total Youth offenders,2021,1971
Tasmania,01 Homicide and related offences,2021,0
Tasmania,02 Acts intended to cause injury,2021,260
Tasmania,03 Sexual assault and related offences,2021,12
Tasmania,04 Dangerous/negligent acts(e),2021,0
Tasmania,05 Abduction/harassment,2021,3
Tasmania,06 Robbery/extortion,2021,22
Tasmania,07 Unlawful entry with intent,2021,46
Tasmania,08 Theft,2021,181
Tasmania,09 Fraud/deception,2021,15
Tasmania,10 Illicit drug offences,2021,96
Tasmania,11 Weapons/explosives,2021,57
Tasmania,12 Property damage and environmental pollution,2021,112
Tasmania,13 Public order offences,2021,60
Tasmania,15 Offences against justice(g),2021,15
Tasmania,16 Miscellaneous offences,2021,8
Tasmania,All offenders,2021,7809
Tasmania,Total Youth offenders,2021,888
Victoria,01 Homicide and related offences,2021,10
Victoria,02 Acts intended to cause injury,2021,1909
Victoria,03 Sexual assault and related offences,2021,151
